id,epsilon,success,error
simple_1,0.01,True,0.0
simple_2,0.01,True,0.0
simple_3,0.01,True,0.0
simple_4,0.01,True,0.0
simple_5,0.01,True,0.0
shadow_1,0.01,True,0.0
shadow_2,0.01,False,
shadow_3,0.01,False,
shadow_4,0.01,False,
shadow_5,0.01,False,0.20015994262695314
tilted_1,0.01,True,0.0017596820592880248
tilted_2,0.01,True,0.0005794817209243775
tilted_3,0.01,True,0.000855526328086853
tilted_4,0.01,True,0.0011235235929489137
tilted_5,0.01,True,0.0009714789390563965
complex_1,0.01,True,0.0
complex_2,0.01,True,0.0
complex_3,0.01,False,0.20497073364257812
complex_4,0.01,False,0.20497073364257812
complex_5,0.01,False,0.20568179321289062
simple_1,0.02,True,0.0
simple_2,0.02,True,0.0
simple_3,0.02,True,0.0
simple_4,0.02,True,0.0
simple_5,0.02,True,0.0
shadow_1,0.02,True,0.0
shadow_2,0.02,False,
shadow_3,0.02,False,
shadow_4,0.02,False,
shadow_5,0.02,False,0.20015994262695314
tilted_1,0.02,True,0.0017596820592880248
tilted_2,0.02,True,0.0005794817209243775
tilted_3,0.02,True,0.000855526328086853
tilted_4,0.02,True,0.0011235235929489137
tilted_5,0.02,True,0.0009714789390563965
complex_1,0.02,True,0.0
complex_2,0.02,True,0.0
complex_3,0.02,False,0.20497073364257812
complex_4,0.02,False,0.20497073364257812
complex_5,0.02,False,0.20568179321289062
simple_1,0.04,True,0.0
simple_2,0.04,True,0.0
simple_3,0.04,True,0.0
simple_4,0.04,True,0.0
simple_5,0.04,True,0.0
shadow_1,0.04,True,0.0
shadow_2,0.04,False,
shadow_3,0.04,False,
shadow_4,0.04,False,
shadow_5,0.04,False,0.20015994262695314
tilted_1,0.04,True,0.0017596820592880248
tilted_2,0.04,True,0.0005794817209243775
tilted_3,0.04,True,0.000855526328086853
tilted_4,0.04,True,0.0011235235929489137
tilted_5,0.04,True,0.0009714789390563965
complex_1,0.04,True,0.0
complex_2,0.04,True,0.0
complex_3,0.04,False,0.20497073364257812
complex_4,0.04,False,0.20497073364257812
complex_5,0.04,False,0.20568179321289062
simple_1,0.06,True,0.0
simple_2,0.06,True,0.0
simple_3,0.06,True,0.0
simple_4,0.06,True,0.0
simple_5,0.06,True,0.0
shadow_1,0.06,True,0.0
shadow_2,0.06,False,
shadow_3,0.06,False,
shadow_4,0.06,False,
shadow_5,0.06,False,0.20015994262695314
tilted_1,0.06,True,0.0017596820592880248
tilted_2,0.06,True,0.0005794817209243775
tilted_3,0.06,True,0.000855526328086853
tilted_4,0.06,True,0.0011235235929489137
tilted_5,0.06,True,0.0009714789390563965
complex_1,0.06,True,0.0
complex_2,0.06,True,0.0
complex_3,0.06,False,0.20497073364257812
complex_4,0.06,False,0.20497073364257812
complex_5,0.06,False,0.20568179321289062
