id,epsilon,success,detected,review_notes
complex_1,0.01,,True,
complex_2,0.01,,False,
complex_3,0.01,,True,
complex_4,0.01,,True,
complex_5,0.01,,True,
shadow_1,0.01,,True,
shadow_2,0.01,,True,
shadow_3,0.01,,True,
shadow_4,0.01,,True,
shadow_5,0.01,,True,
simple_1,0.01,,True,
simple_2,0.01,,True,
simple_3,0.01,,True,
simple_4,0.01,,True,
simple_5,0.01,,True,
tilted_1,0.01,,True,
tilted_2,0.01,,True,
tilted_3,0.01,,False,
tilted_4,0.01,,True,
tilted_5,0.01,,True,
complex_1,0.02,,True,
complex_2,0.02,,False,
complex_3,0.02,,True,
complex_4,0.02,,True,
complex_5,0.02,,True,
shadow_1,0.02,,True,
shadow_2,0.02,,True,
shadow_3,0.02,,True,
shadow_4,0.02,,True,
shadow_5,0.02,,True,
simple_1,0.02,,True,
simple_2,0.02,,True,
simple_3,0.02,,True,
simple_4,0.02,,True,
simple_5,0.02,,True,
tilted_1,0.02,,True,
tilted_2,0.02,,True,
tilted_3,0.02,,False,
tilted_4,0.02,,True,
tilted_5,0.02,,True,
complex_1,0.04,,True,
complex_2,0.04,,False,
complex_3,0.04,,True,
complex_4,0.04,,True,
complex_5,0.04,,True,
shadow_1,0.04,,True,
shadow_2,0.04,,True,
shadow_3,0.04,,True,
shadow_4,0.04,,True,
shadow_5,0.04,,True,
simple_1,0.04,,True,
simple_2,0.04,,True,
simple_3,0.04,,True,
simple_4,0.04,,True,
simple_5,0.04,,True,
tilted_1,0.04,,True,
tilted_2,0.04,,True,
tilted_3,0.04,,False,
tilted_4,0.04,,True,
tilted_5,0.04,,True,
complex_1,0.06,,True,
complex_2,0.06,,False,
complex_3,0.06,,True,
complex_4,0.06,,True,
complex_5,0.06,,True,
shadow_1,0.06,,True,
shadow_2,0.06,,True,
shadow_3,0.06,,True,
shadow_4,0.06,,True,
shadow_5,0.06,,True,
simple_1,0.06,,True,
simple_2,0.06,,True,
simple_3,0.06,,True,
simple_4,0.06,,True,
simple_5,0.06,,True,
tilted_1,0.06,,True,
tilted_2,0.06,,True,
tilted_3,0.06,,False,
tilted_4,0.06,,True,
tilted_5,0.06,,True,
