id,condition,preset,detected,success,max_corner_error,notes
image_cv (1),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (1),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (1),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (10),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (10),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (10),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (11),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (11),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (11),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (12),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (12),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (12),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (13),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (13),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (13),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (14),personal,default,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (14),personal,sensitive,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (14),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (15),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (15),personal,sensitive,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (15),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (16),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (16),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (16),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (17),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (17),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (17),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (18),personal,default,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (18),personal,sensitive,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (18),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (19),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (19),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (19),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (2),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (2),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (2),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (20),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (20),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (20),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (3),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (3),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (3),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (4),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (4),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (4),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (5),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (5),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (5),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (6),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (6),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (6),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (7),personal,default,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (7),personal,sensitive,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (7),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
image_cv (8),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (8),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (8),personal,strict,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (9),personal,default,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (9),personal,sensitive,True,True,,User-provided screenshot; ground-truth corners not supplied
image_cv (9),personal,strict,False,False,,User-provided screenshot; ground-truth corners not supplied
